pond,timestamp_iso,timestamp_local,ph,tds,temperature,do,lock,status
pond-faridpur,2026-07-19T05:28:48.722Z,7/19/2026  11:28:48 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:48.305Z,7/19/2026  11:28:48 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:48.081Z,7/19/2026  11:28:48 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:47.880Z,7/19/2026  11:28:47 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:47.664Z,7/19/2026  11:28:47 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:47.465Z,7/19/2026  11:28:47 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:47.279Z,7/19/2026  11:28:47 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:46.752Z,7/19/2026  11:28:46 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:46.544Z,7/19/2026  11:28:46 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:45.462Z,7/19/2026  11:28:45 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:44.113Z,7/19/2026  11:28:44 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:43.881Z,7/19/2026  11:28:43 AM,8.65,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:37.017Z,7/19/2026  11:28:37 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:36.801Z,7/19/2026  11:28:36 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:36.576Z,7/19/2026  11:28:36 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:35.920Z,7/19/2026  11:28:35 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:33.768Z,7/19/2026  11:28:33 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:33.610Z,7/19/2026  11:28:33 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.937Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.763Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.569Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.392Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.195Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:32.001Z,7/19/2026  11:28:32 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:31.827Z,7/19/2026  11:28:31 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:31.632Z,7/19/2026  11:28:31 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:31.464Z,7/19/2026  11:28:31 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:31.121Z,7/19/2026  11:28:31 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:30.937Z,7/19/2026  11:28:30 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:30.769Z,7/19/2026  11:28:30 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:30.598Z,7/19/2026  11:28:30 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:30.394Z,7/19/2026  11:28:30 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:30.248Z,7/19/2026  11:28:30 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:29.600Z,7/19/2026  11:28:29 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:29.433Z,7/19/2026  11:28:29 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:29.281Z,7/19/2026  11:28:29 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:29.065Z,7/19/2026  11:28:29 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:28.904Z,7/19/2026  11:28:28 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:28.696Z,7/19/2026  11:28:28 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:28.531Z,7/19/2026  11:28:28 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:28.338Z,7/19/2026  11:28:28 AM,8.64,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:16.321Z,7/19/2026  11:28:16 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:15.970Z,7/19/2026  11:28:15 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:15.737Z,7/19/2026  11:28:15 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:15.258Z,7/19/2026  11:28:15 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:15.032Z,7/19/2026  11:28:15 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:14.813Z,7/19/2026  11:28:14 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:14.595Z,7/19/2026  11:28:14 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:14.386Z,7/19/2026  11:28:14 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:14.144Z,7/19/2026  11:28:14 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:13.921Z,7/19/2026  11:28:13 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:13.717Z,7/19/2026  11:28:13 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:13.341Z,7/19/2026  11:28:13 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:13.144Z,7/19/2026  11:28:13 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:12.944Z,7/19/2026  11:28:12 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:12.753Z,7/19/2026  11:28:12 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:12.585Z,7/19/2026  11:28:12 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:12.378Z,7/19/2026  11:28:12 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:12.193Z,7/19/2026  11:28:12 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.985Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.801Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.616Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.449Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.233Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:11.032Z,7/19/2026  11:28:11 AM,8.61,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:10.647Z,7/19/2026  11:28:10 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:10.428Z,7/19/2026  11:28:10 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:10.217Z,7/19/2026  11:28:10 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:10.017Z,7/19/2026  11:28:10 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:09.521Z,7/19/2026  11:28:09 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:09.336Z,7/19/2026  11:28:09 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:09.136Z,7/19/2026  11:28:09 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.979Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.784Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.610Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.427Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.227Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:28:08.034Z,7/19/2026  11:28:08 AM,8.6,218,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:48.448Z,7/19/2026  11:27:48 AM,8.55,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:48.198Z,7/19/2026  11:27:48 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:47.996Z,7/19/2026  11:27:47 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:47.827Z,7/19/2026  11:27:47 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:47.585Z,7/19/2026  11:27:47 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:47.385Z,7/19/2026  11:27:47 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:47.201Z,7/19/2026  11:27:47 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:46.968Z,7/19/2026  11:27:46 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:46.782Z,7/19/2026  11:27:46 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:46.569Z,7/19/2026  11:27:46 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:46.355Z,7/19/2026  11:27:46 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:46.161Z,7/19/2026  11:27:46 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:45.953Z,7/19/2026  11:27:45 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:45.737Z,7/19/2026  11:27:45 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:45.506Z,7/19/2026  11:27:45 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:45.297Z,7/19/2026  11:27:45 AM,8.54,217,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:45.097Z,7/19/2026  11:27:45 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:44.849Z,7/19/2026  11:27:44 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:44.647Z,7/19/2026  11:27:44 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:44.397Z,7/19/2026  11:27:44 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:44.160Z,7/19/2026  11:27:44 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:43.940Z,7/19/2026  11:27:43 AM,8.54,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:43.697Z,7/19/2026  11:27:43 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:43.497Z,7/19/2026  11:27:43 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:43.295Z,7/19/2026  11:27:43 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:43.065Z,7/19/2026  11:27:43 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:42.847Z,7/19/2026  11:27:42 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:42.609Z,7/19/2026  11:27:42 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:42.377Z,7/19/2026  11:27:42 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:42.128Z,7/19/2026  11:27:42 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:41.880Z,7/19/2026  11:27:41 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:41.664Z,7/19/2026  11:27:41 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:41.433Z,7/19/2026  11:27:41 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:41.181Z,7/19/2026  11:27:41 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:40.944Z,7/19/2026  11:27:40 AM,8.53,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:40.697Z,7/19/2026  11:27:40 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:40.477Z,7/19/2026  11:27:40 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:40.296Z,7/19/2026  11:27:40 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:40.094Z,7/19/2026  11:27:40 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:39.881Z,7/19/2026  11:27:39 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:39.694Z,7/19/2026  11:27:39 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:39.464Z,7/19/2026  11:27:39 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:39.258Z,7/19/2026  11:27:39 AM,8.52,216,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:39.062Z,7/19/2026  11:27:39 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:38.849Z,7/19/2026  11:27:38 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:38.643Z,7/19/2026  11:27:38 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:38.481Z,7/19/2026  11:27:38 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:38.261Z,7/19/2026  11:27:38 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:38.064Z,7/19/2026  11:27:38 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:37.859Z,7/19/2026  11:27:37 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:37.658Z,7/19/2026  11:27:37 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:37.433Z,7/19/2026  11:27:37 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:37.227Z,7/19/2026  11:27:37 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:37.001Z,7/19/2026  11:27:37 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:36.817Z,7/19/2026  11:27:36 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:36.626Z,7/19/2026  11:27:36 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:36.416Z,7/19/2026  11:27:36 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:36.219Z,7/19/2026  11:27:36 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:36.017Z,7/19/2026  11:27:36 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:35.830Z,7/19/2026  11:27:35 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:35.626Z,7/19/2026  11:27:35 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:35.443Z,7/19/2026  11:27:35 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:35.248Z,7/19/2026  11:27:35 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:35.100Z,7/19/2026  11:27:35 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:34.906Z,7/19/2026  11:27:34 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:34.731Z,7/19/2026  11:27:34 AM,8.52,215,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:34.547Z,7/19/2026  11:27:34 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:34.352Z,7/19/2026  11:27:34 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:34.163Z,7/19/2026  11:27:34 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:33.964Z,7/19/2026  11:27:33 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:33.760Z,7/19/2026  11:27:33 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:33.536Z,7/19/2026  11:27:33 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:33.320Z,7/19/2026  11:27:33 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:33.096Z,7/19/2026  11:27:33 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:32.681Z,7/19/2026  11:27:32 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:32.481Z,7/19/2026  11:27:32 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:32.281Z,7/19/2026  11:27:32 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:32.097Z,7/19/2026  11:27:32 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:31.913Z,7/19/2026  11:27:31 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:31.728Z,7/19/2026  11:27:31 AM,8.51,214,30,OFF,NO,Moderate
pond-faridpur,2026-07-19T05:27:31.163Z,7/19/2026  11:27:31 AM,8.5,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:30.922Z,7/19/2026  11:27:30 AM,8.5,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:30.729Z,7/19/2026  11:27:30 AM,8.5,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:30.537Z,7/19/2026  11:27:30 AM,8.5,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:30.345Z,7/19/2026  11:27:30 AM,8.5,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:30.144Z,7/19/2026  11:27:30 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:29.953Z,7/19/2026  11:27:29 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:29.785Z,7/19/2026  11:27:29 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:29.594Z,7/19/2026  11:27:29 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:29.408Z,7/19/2026  11:27:29 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:29.195Z,7/19/2026  11:27:29 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:28.808Z,7/19/2026  11:27:28 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:28.563Z,7/19/2026  11:27:28 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:28.385Z,7/19/2026  11:27:28 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:28.169Z,7/19/2026  11:27:28 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:27.985Z,7/19/2026  11:27:27 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:27.785Z,7/19/2026  11:27:27 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:27.480Z,7/19/2026  11:27:27 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:27.328Z,7/19/2026  11:27:27 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:27.185Z,7/19/2026  11:27:27 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:26.992Z,7/19/2026  11:27:26 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:26.817Z,7/19/2026  11:27:26 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:26.649Z,7/19/2026  11:27:26 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:27:26.464Z,7/19/2026  11:27:26 AM,8.49,214,30,OFF,NO,Good
pond-faridpur,2026-07-19T05:25:29.395Z,7/19/2026  11:25:29 AM,7.15,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:29.169Z,7/19/2026  11:25:29 AM,7.15,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:28.985Z,7/19/2026  11:25:28 AM,7.15,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:28.701Z,7/19/2026  11:25:28 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:28.401Z,7/19/2026  11:25:28 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:28.152Z,7/19/2026  11:25:28 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:27.968Z,7/19/2026  11:25:27 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:27.762Z,7/19/2026  11:25:27 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:27.552Z,7/19/2026  11:25:27 AM,7.12,169,30.1,ON,NO,Good
pond-faridpur,2026-07-19T05:25:26.476Z,7/19/2026  11:25:26 AM,7.09,169,30.1,ON,NO,Good
