pond,timestamp_iso,timestamp_local,ph,tds,temperature,do,lock,status
pond-1,2026-07-19T05:38:29.073Z,7/19/2026  11:38:29 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:28.889Z,7/19/2026  11:38:28 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:28.579Z,7/19/2026  11:38:28 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:28.417Z,7/19/2026  11:38:28 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:28.233Z,7/19/2026  11:38:28 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:26.769Z,7/19/2026  11:38:26 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:25.217Z,7/19/2026  11:38:25 AM,8.68,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:25.018Z,7/19/2026  11:38:25 AM,8.68,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:24.834Z,7/19/2026  11:38:24 AM,8.68,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:24.649Z,7/19/2026  11:38:24 AM,8.68,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:38:23.338Z,7/19/2026  11:38:23 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:23.033Z,7/19/2026  11:38:23 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:22.874Z,7/19/2026  11:38:22 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:22.682Z,7/19/2026  11:38:22 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:22.506Z,7/19/2026  11:38:22 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:22.321Z,7/19/2026  11:38:22 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:22.133Z,7/19/2026  11:38:22 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:21.937Z,7/19/2026  11:38:21 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:21.753Z,7/19/2026  11:38:21 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:21.385Z,7/19/2026  11:38:21 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:21.089Z,7/19/2026  11:38:21 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:20.802Z,7/19/2026  11:38:20 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:20.649Z,7/19/2026  11:38:20 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:20.489Z,7/19/2026  11:38:20 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:20.313Z,7/19/2026  11:38:20 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:38:20.145Z,7/19/2026  11:38:20 AM,8.68,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:35:48.697Z,7/19/2026  11:35:48 AM,8.69,369,29.9,OFF,NO,Moderate
pond-1,2026-07-19T05:35:47.582Z,7/19/2026  11:35:47 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:35:47.380Z,7/19/2026  11:35:47 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:35:46.665Z,7/19/2026  11:35:46 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:35:46.460Z,7/19/2026  11:35:46 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:35:46.217Z,7/19/2026  11:35:46 AM,8.69,369,29.8,OFF,NO,Moderate
pond-1,2026-07-19T05:35:45.979Z,7/19/2026  11:35:45 AM,8.69,369,29.8,OFF,NO,Moderate
